Uphill Blak Elytic Becket Zery   || <- 1 ||  eden  ||  Timo Nookie Diddy Ruski Suddi 
Elytic Pano Diddy Zim Alex   || -> 3 ||  drydock  ||  Stn Blak Ronin Ruski Zery 
Elytic Pano Diddy Zim Alex   || <- 1 ||  angel  ||  Stn Blak Ronin Ruski Zery 
Stn Elytic Ronin Uphill Zim   || <- 1 ||  colony  ||  Pano Blak Diddy Ruski Alex 
Stn Elytic Ronin Uphill Zim   || <- 5 ||  glitch  ||  Pano Blak Diddy Ruski Alex 
Blak Timo Diddy Elytic Zto   || -> 1 ||  boomtown  ||  Ethereal Stn Pano Bobby Alex 
Blak Timo Diddy Elytic Zto   || <- 2 ||  exo  ||  Ethereal Stn Pano Bobby Alex 
Blak Timo Diddy Elytic Zto   || -> 1 ||  eden  ||  Ethereal Stn Pano Bobby Alex 
Blak Timo Diddy Elytic Zto   || <- 2 ||  drydock  ||  Ethereal Stn Pano Bobby Alex 
Blak Timo Diddy Elytic Zto   || <- 4 ||  angel  ||  Ethereal Stn Pano Bobby Alex 
Timo Diddy Ethereal Stn Zto   || -> 1 ||  colony  ||  Blak Pano Elytic Bobby Uphill 
Blak Timo Stn Pano Wraith   || -> 3 ||  glitch  ||  Diddy Ethereal Elytic Bobby Uphill 
Blak Bobby Stinky Becket Uphill   || -> 1 ||  boomtown  ||  Pano Elytic Timo Zery Lightman 
Blak Bobby Stinky Becket Uphill   || <- 5 ||  eden  ||  Pano Elytic Timo Zery Lightman 
Blak Bobby Stinky Becket Uphill   || -> 3 ||  colony  ||  Pano Elytic Timo Zery Lightman 
Hero Zery Grim Elytic Bobby   || <- 1 ||  boom  ||  Blak Suddi Ronin Uphill Stinky 
Suddi Hero Zery Elytic Stinky   || <- 1 ||  boomtown  ||  Blak Ronin Grim Bobby Uphill 
Suddi Hero Zery Elytic Stinky   || -> 3 ||  exo  ||  Blak Ronin Grim Bobby Uphill 
Suddi Hero Zery Elytic Stinky   || -> 1 ||  eden  ||  Blak Ronin Grim Bobby Uphill 
Suddi Hero Zery Elytic Stinky   || <- 5 ||  drydock  ||  Blak Ronin Grim Bobby Uphill 
Suddi Zery Timo Bobby Becket   || <- 4 ||  boomtown  ||  Blak Dragon Alex Elytic Uphill 
Suddi Zery Timo Bobby Becket   || <- 4 ||  exo  ||  Blak Dragon Alex Elytic Uphill 
Suddi Zery Alex Bobby Uphill   || -> 1 ||  drydock  ||  Blak Dragon Timo Elytic Becket 
Suddi Zery Alex Bobby Uphill   || -> 4 ||  angel  ||  Blak Dragon Timo Elytic Becket 
Suddi Dragon Elytic Uphill Becket   || <- 2 ||  glitch  ||  Blak Hero Timo Stinky Bobby 
Suddi Dragon Elytic Uphill Becket   || <- 1 ||  boomtown  ||  Blak Hero Timo Stinky Bobby 
Ronin Stn Zery Diddy Timo   || <- 1 ||  boomtown  ||  Suddi Elytic Bobby Nookie Uphill 
Suddi Nookie Uphill Elytic Bobby   || -> 1 ||  boomtown  ||  Timo Ronin Stn Diddy Zery 
Suddi Nookie Uphill Elytic Timo   || -> 1 ||  angel  ||  Squishy Ronin Bobby Diddy Pano 
Suddi Nookie Uphill Elytic Timo   || <- 2 ||  colony  ||  Squishy Ronin Bobby Diddy Pano 
Alex Nookie Elytic Bobby Ronin   || <- 1 ||  boomtown  ||  Blak Daire Hero Timo Uphill 
Alex Nookie Elytic Bobby Ronin   || -> 1 ||  exo  ||  Blak Daire Hero Timo Uphill 
Alex Nookie Elytic Bobby Ronin   || <- 3 ||  eden  ||  Blak Daire Hero Timo Uphill 
Pano Ruski Elytic Bobby Ronin   || -> 3 ||  boomtown  ||  Blak Zery Timo Nookie Uphill 
Pano Ethereal Timo Bobby Uphill   || <- 1 ||  exo  ||  Blak Zery Nookie Elytic Ronin 
Uphill Pano Ethereal Bobby Timo   || -> 2 ||  eden  ||  Nookie Elytic Becket Blak Ronin 
Uphill Pano Ethereal Bobby Timo   || <- 1 ||  drydock  ||  Nookie Elytic Becket Blak Ronin 
Blak Pano Zery Nookie Ronin   || <- 1 ||  boomtown  ||  Cylas Timo Diddy Becket Uphill 
Blak Pano Zery Nookie Ronin   || <- 1 ||  eden  ||  Cylas Timo Diddy Becket Uphill 
Zery Nookie Elytic Stinky Ronin   || <- 3 ||  boomtown  ||  Alex Dragon Pano Timo Uphill 
Zery Nookie Elytic Stinky Ronin   || -> 1 ||  exo  ||  Alex Dragon Pano Timo Uphill 
Zery Nookie Elytic Stinky Ronin   || <- 3 ||  eden  ||  Alex Dragon Pano Timo Uphill 
Zery Pano Dragon Alex Timo   || <- 1 ||  drydock  ||  Uphill Elytic Stinky Nookie Ronin 
Blak Dragon Lightman Nookie Uphill   || <- 1 ||  angel  ||  Zery Timo Bobby Stinky Ronin 
Blak Pano Nookie Stinky Ronin   || -> 1 ||  boomtown  ||  Uphill Bobby Timo Dragon Zery 
Blak Pano Nookie Stinky Ronin   || <- 1 ||  exo  ||  Uphill Bobby Timo Dragon Zery 
Blak Pano Nookie Stinky Ronin   || <- 1 ||  eden  ||  Uphill Bobby Timo Dragon Zery 
Blak Pano Nookie Stinky Ronin   || -> 3 ||  drydock  ||  Uphill Bobby Timo Dragon Zery 
Blak Zery Bobby Uphill Ronin   || -> 1 ||  boomtown  ||  Becket Pano Timo Elytic Stinky 
Blak Zery Bobby Uphill Ronin   || <- 2 ||  exo  ||  Becket Pano Timo Elytic Stinky 
Blak Ronin Nookie Bobby Uphill   || <- 1 ||  eden  ||  Pano Timo Elytic Stinky Becket 
Blak Ronin Nookie Bobby Uphill   || -> 2 ||  drydock  ||  Pano Timo Elytic Stinky Becket 
Pano Timo Dragon Elytic Stinky   || -> 2 ||  angel  ||  Blak Becket Nookie Uphill Ronin 
Pano Timo Elytic Stinky Ronin   || -> 3 ||  colony  ||  Blak Becket Nookie Dragon Uphill 
Pano Timo Elytic Stinky Ronin   || <- 1 ||  glitch  ||  Blak Becket Nookie Dragon Uphill 
Pano Timo Elytic Stinky Ronin   || -> 3 ||  boomtown  ||  Blak Becket Nookie Dragon Uphill 
Grim Pano Timo Uphill Bobby   || <- 4 ||  exo  ||  Blak Nookie Dragon Elytic Stinky 
Stn Diddy Becket Zery Ronin   || <- 1 ||  boomtown  ||  Blak Timo Dragon Elytic Uphill 
Stn Diddy Becket Zery Ronin   || <- 1 ||  exo  ||  Blak Timo Dragon Elytic Uphill 
Stn Diddy Becket Pano Zery   || -> 1 ||  boomtown  ||  Blak Bobby Elytic Uphill Nookie 
Stn Diddy Becket Pano Zery   || <- 5 ||  drydock  ||  Blak Bobby Elytic Uphill Nookie 
Stn Diddy Becket Pano Zery   || -> 3 ||  exo  ||  Blak Bobby Elytic Uphill Nookie 
Stn Diddy Becket Pano Zery   || -> 1 ||  eden  ||  Blak Bobby Elytic Uphill Nookie 
Stn Slime Elytic Zery Nookie   || <- 6 ||  angel  ||  Blak Diddy Pano Bobby Uphill 
Stn Slime Elytic Zery Nookie   || <- 4 ||  colony  ||  Blak Diddy Pano Bobby Uphill 
Slime Pano Bobby Elytic Uphill   || -> 2 ||  glitch  ||  Blak Timo Diddy Grim Nookie 
Timo Diddy Slime Grim Dragon   || -> 1 ||  boomtown  ||  Blak Zery Alex Elytic Uphill 
Timo Diddy Slime Grim Dragon   || -> 6 ||  exo  ||  Blak Zery Alex Elytic Uphill 
Timo Diddy Slime Grim Dragon   || -> 1 ||  boomtown  ||  Blak Zery Alex Elytic Uphill 
Timo Diddy Slime Grim Dragon   || -> 6 ||  exo  ||  Blak Zery Alex Elytic Uphill 
Blak Diddy Slime Uphill Dragon   || -> 2 ||  11  ||  Timo Zery Alex Elytic Grim 
Timo Diddy Slime Grim Dragon   || -> 1 ||  boomtown  ||  Blak Zery Alex Elytic Uphill 
Timo Diddy Slime Grim Dragon   || -> 6 ||  exo  ||  Blak Zery Alex Elytic Uphill 
Blak Diddy Slime Uphill Dragon   || -> 2 ||  eden  ||  Timo Zery Alex Elytic Grim 
Blak Diddy Slime Uphill Dragon   || <- 1 ||  drydock  ||  Timo Zery Alex Elytic Grim 
Blak Becket Zto Grim Timo   || <- 2 ||  boomtown  ||  Dragon Elytic Bobby Nookie Diddy 
Blak Becket Zto Grim Timo   || -> 1 ||  exo  ||  Dragon Elytic Bobby Nookie Diddy 
Blak Becket Zto Grim Timo   || <- 2 ||  eden  ||  Dragon Elytic Bobby Nookie Diddy 
Blak Bobby Elytic Uphill Timo   || -> 3 ||  drydock  ||  Dragon Grim Becket Nookie Diddy 
Blak Bobby Elytic Uphill Timo   || -> 1 ||  angel  ||  Dragon Grim Becket Nookie Diddy 
Diddy Hero Ronin Stn Dragon   || -> 3 ||  exo  ||  Blak Timo Bobby Becket Uphill 
Diddy Hero Ronin Stn Dragon   || -> 1 ||  eden  ||  Blak Timo Bobby Becket Uphill 
Blak Timo Becket Uphill Bobby   || <- 1 ||  angel  ||  Ronin Stn Diddy Zery Dragon 
Blak Zery Slime Ronin Dragon   || -> 2 ||  boomtown  ||  Timo Stinky Nookie Becket Uphill 
Blak Zery Slime Ronin Dragon   || <- 1 ||  exo  ||  Timo Stinky Nookie Becket Uphill 
Blak Zery Slime Ronin Dragon   || <- 1 ||  eden  ||  Timo Stinky Nookie Becket Uphill 
Blak Becket Stinky Diddy Uphill   || <- 1 ||  drydock  ||  Zto Slime Ronin Nookie Dragon 
Slime Ronin Nookie Diddy Uphill   || <- 4 ||  angel  ||  Blak Alex Stinky Zto Dragon
Stn Haboo Becket Diddy Hero   || <- 1 ||  boomtown  ||  Zery Elytic Timo Suddi Daire 
Stn Haboo Becket Diddy Hero   || -> 3 ||  eden  ||  Zery Elytic Timo Suddi Daire 
Stn Haboo Becket Diddy Hero   || <- 3 ||  exo  ||  Zery Elytic Timo Suddi Daire 
Stn Haboo Becket Diddy Hero   || -> 3 ||  drydock  ||  Zery Elytic Timo Suddi Daire 
Stn Haboo Becket Diddy Hero   || -> 4 ||  angel  ||  Zery Elytic Timo Suddi Daire
"Becket", "Stn", "Uphill", "Alex", "Diddy",   || <- 6 ||  drydock  ||  "Timo", "Zery", "Elytic", "Zto", "Dragon", EU
"Becket", "Stn", "Uphill", "Alex", "Diddy",   || -> 1 ||  eden  ||  "Timo", "Zery", "Elytic", "Zto", "Dragon", EU
"Becket", "Stn", "Uphill", "Alex", "Diddy",   || <- 3 ||  angel  ||  "Timo", "Zery", "Elytic", "Zto", "Dragon", EU
"Becket", "Ronin", "Uphill", "Zery", "Diddy",   || <- 1 ||  boomtown  ||  "Timo", "Stn", "Nookie", "Foy", "Dragon", EU
"Becket", "Ronin", "Uphill", "Zery", "Diddy",   || -> 1 ||  exo  ||  "Timo", "Stn", "Nookie", "Foy", "Dragon", EU
"Grim", "Blak", "Ronin", "Cylas", "Nookie",   || -> 5 ||  exo  ||  "Zto", "Uphill", "Foy", "Zery", "Bobby", NY
"Grim", "Foy", "Timo", "Bobby", "Nookie",   || <- 6 ||  eden  ||  "Zto", "Uphill", "Blak", "Ronin", "Cylas", NY
"Grim", "Uphill", "Foy", "Bobby", "Nookie",   || <- 4 ||  drydock  ||  "Elytic", "Blak", "Ronin", "Timo", "Cylas", NY
"Grim", "Blak", "Ronin", "Cylas", "Nookie",   || -> 5 ||  exo  ||  "Zto", "Uphill", "Foy", "Zery", "Bobby", NY
"Grim", "Foy", "Timo", "Bobby", "Nookie",   || <- 6 ||  eden  ||  "Zto", "Uphill", "Blak", "Ronin", "Cylas", NY
"Grim", "Uphill", "Foy", "Bobby", "Nookie",   || <- 4 ||  drydock  ||  "Elytic", "Blak", "Ronin", "Timo", "Cylas", NY
"Uphill", "Bobby", "Timo", "Zery", "Becket",   || <- 2 ||  exo  ||  "Elytic", "Diddy", "Zto", "Stinky", "Blak", EU
"Uphill", "Bobby", "Timo", "Zery", "Becket",   || <- 1 ||  drydock  ||  "Elytic", "Diddy", "Zto", "Stinky", "Blak", EU
"Elytic", "Diddy", "Uphill", "Timo", "Blak",   || -> 1 ||  boomtown  ||  "Nookie", "Foy", "Squishy", "Grim", "Stn", EU
"Elytic", "Diddy", "Uphill", "Timo", "Blak",   || -> 1 ||  exo  ||  "Nookie", "Foy", "Squishy", "Grim", "Stn", EU
"Elytic", "Nookie", "Foy", "Grim", "Stn",   || -> 1 ||  drydock  ||  "Diddy", "Uphill", "Squishy", "Timo", "Blak", EU
"Squishy", "Grim", "Stn", "Nookie", "Foy",   || <- 1 ||  eden  ||  "Elytic", "Timo", "Diddy", "Blak", "Uphill", EU
"Becket", "Zto", "Zery", "Timo", "Blak",   || <- 4 ||  boomtown  ||  "Elytic", "M-kon", "Stn", "Diddy", "Uphill", EU
"Becket", "Zto", "Zery", "Timo", "Blak",   || -> 1 ||  exo  ||  "Elytic", "M-kon", "Stn", "Diddy", "Uphill", EU
"Becket", "Zto", "Zery", "Timo", "Blak",   || <- 2 ||  eden  ||  "Elytic", "M-kon", "Stn", "Diddy", "Uphill", EU
"Elytic", "Squishy", "Stn", "Diddy", "Uphill",   || -> 1 ||  angel  ||  "Zery", "Timo", "Becket", "Blak", "Zto", EU
"Bobby", "Diddy", "Ronin", "Foy", "Timo",   || -> 1 ||  boomtown  ||  "Zery", "Alex", "Becket", "Daire", "Uphill", EU
"Bobby", "Uphill", "Ronin", "Foy", "Becket",   || -> 5 ||  exo  ||  "Zery", "Alex", "Timo", "Daire", "Diddy", EU
"Diddy", "Ronin", "Zery", "Timo", "Nookie",   || <- 1 ||  eden  ||  "Bobby", "Becket", "Alex", "Foy", "Uphill", EU
"Diddy", "Ronin", "Zery", "Timo", "Nookie",   || <- 1 ||  drydock  ||  "Bobby", "Becket", "Alex", "Foy", "Uphill", EU
"Diddy", "Blak", "Dragon", "Nookie", "Uphill",   || -> 2 ||  glitch  ||  "Zto", "Ronin", "Becket", "Timo", "Grim", NY
"Diddy", "Blak", "Dragon", "Nookie", "Uphill",   || -> 1 ||  colony  ||  "Zto", "Ronin", "Becket", "Timo", "Grim", NY
"Zery", "Diddy", "Ronin", "Becket", "Stn",   || -> 1 ||  boomtown  ||  "Blak", "Timo", "Grim", "Nookie", "Uphill", EU
"Zery", "Diddy", "Ronin", "Becket", "Stn",   || <- 1 ||  exo  ||  "Blak", "Timo", "Grim", "Nookie", "Uphill", EU
"Zery", "Diddy", "Ronin", "Becket", "Stn",   || <- 1 ||  eden  ||  "Blak", "Timo", "Grim", "Nookie", "Uphill", EU
"Zery", "Diddy", "Ronin", "Becket", "Stn",   || <- 2 ||  drydock  ||  "Blak", "Timo", "Grim", "Nookie", "Uphill", EU
"Zery", "Ronin", "Becket", "Stn", "Uphill",   || <- 1 ||  angel  ||  "Diddy", "Blak", "Timo", "Grim", "Nookie", EU
"Zery", "Ronin", "Becket", "Stn", "Uphill",   || <- 1 ||  angel  ||  "Diddy", "Blak", "Timo", "Grim", "Nookie", EU
"Zery", "Ronin", "Becket", "Stn", "Uphill",   || <- 2 ||  colony  ||  "Diddy", "Blak", "Timo", "Grim", "Nookie", EU
"Zto", "Diddy", "Blak", "Timo", "Haboo",   || -> 1 ||  glitch  ||  "Ronin", "Becket", "Stn", "Nookie", "Uphill", EU
"Zto", "Diddy", "Blak", "Timo", "Haboo",   || -> 4 ||  boomtown  ||  "Ronin", "Becket", "Stn", "Nookie", "Uphill", EU
"Zery", "Grim", "Ronin", "Foy", "Elytic",   || <- 1 ||  boomtown  ||  "Becket", "Blak", "Ende", "Uphill", "Diddy", EU
"Zery", "Grim", "Ronin", "Foy", "Elytic",   || <- 2 ||  exo  ||  "Becket", "Blak", "Ende", "Uphill", "Diddy", EU
"Wagon", "Blak", "Timo", "Zery", "Uphill",   || <- 3 ||  colony  ||  "Foy", "Bobby", "Diddy", "Ende", "Elytic", NY
"Wagon", "Blak", "Timo", "Zery", "Uphill",   || -> 1 ||  glitch  ||  "Foy", "Bobby", "Diddy", "Ende", "Elytic", NY
"Foy", "Diddy", "Blak", "Nookie", "Uphill",   || <- 1 ||  drydock  ||  "Wagon", "Bobby", "Timo", "Ende", "Elytic", EU
"Foy", "Bobby", "Ende", "Elytic", "Nookie",   || -> 2 ||  exo  ||  "Ronin", "Diddy", "Blak", "Timo", "Uphill", EU
"Nookie", "Ende", "Bobby", "Foy", "Elytic",   || <- 1 ||  eden  ||  "Timo", "Blak", "Ronin", "Uphill", "Diddy", EU
"Stn", "Ronin", "Ende", "Uphill", "Blak",   || -> 1 ||  boomtown  ||  "Timo", "Diddy", "Becket", "Nookie", "Alex", EU
"Stn", "Ronin", "Ende", "Uphill", "Blak",   || -> 5 ||  exo  ||  "Timo", "Diddy", "Becket", "Nookie", "Alex", EU
"Ronin", "Blak", "Timo", "Elytic", "Uphill",   || -> 1 ||  eden  ||  "Stn", "Haboo", "Diddy", "Ende", "Nookie", EU
"Ronin", "Blak", "Timo", "Elytic", "Uphill",   || -> 5 ||  drydock  ||  "Stn", "Haboo", "Diddy", "Ende", "Nookie", EU
"Stn", "Ronin", "Blak", "Timo", "Uphill",   || <- 2 ||  angel  ||  "Haboo", "Diddy", "Regnells", "Elytic", "Nookie", EU
"Stn", "Ronin", "Blak", "Timo", "Uphill",   || -> 2 ||  colony  ||  "Haboo", "Diddy", "Regnells", "Elytic", "Nookie", EU
"Uphill", "Ronin", "Becket", "Elytic", "Stn",   || -> 2 ||  boomtown  ||  "Cylas", "Zery", "Blak", "Diddy", "Nookie", EU
"Uphill", "Ronin", "Becket", "Elytic", "Stn",   || <- 1 ||  eden  ||  "Cylas", "Zery", "Blak", "Diddy", "Nookie", EU
"Uphill", "Ronin", "Becket", "Elytic", "Stn",   || -> 1 ||  exo  ||  "Cylas", "Zery", "Blak", "Diddy", "Nookie", EU
"Uphill", "Cylas", "Toxic", "Nookie", "Stn",   || <- 1 ||  drydock  ||  "Ronin", "Becket", "Blak", "Diddy", "Elytic", EU
"Uphill", "Cylas", "Toxic", "Nookie", "Stn",   || <- 1 ||  angel  ||  "Ronin", "Becket", "Blak", "Diddy", "Elytic", EU
"Ronin", "Becket", "Blak", "Elytic", "Nookie",   || <- 4 ||  colony  ||  "Uphill", "Timo", "Toxic", "Diddy", "Stn", EU
"Uphill", "Haboo", "Becket", "Zery", "Tark",   || <- 1 ||  boomtown  ||  "Ronin", "Toxic", "Blak", "Cylas", "Nookie", EU
"Ronin", "Toxic", "Stn", "Nookie", "Tark",   || -> 3 ||  exo  ||  "Uphill", "Haboo", "Becket", "Blak", "Cylas", EU
"Ronin", "Toxic", "Stn", "Nookie", "Tark",   || -> 2 ||  eden  ||  "Uphill", "Haboo", "Becket", "Blak", "Cylas", EU
"Uphill", "Titan", "Blak", "Diddy", "Nookie",   || <- 2 ||  angel  ||  "Ronin", "Toxic", "Becket", "Stn", "Tark", EU
"Uphill", "Titan", "Blak", "Diddy", "Nookie",   || -> 4 ||  colony  ||  "Ronin", "Toxic", "Becket", "Stn", "Tark", EU
"Uphill", "Titan", "Blak", "Diddy", "Nookie",   || <- 1 ||  glitch  ||  "Ronin", "Toxic", "Becket", "Stn", "Tark", EU
"Blak", "Elytic", "Uphill", "Becket", "Toxic",   || <- 1 ||  boomtown  ||  "Zery", "Titan", "Ende", "Timo", "Diddy", EU
"Blak", "Elytic", "Uphill", "Becket", "Toxic",   || <- 1 ||  exo  ||  "Zery", "Titan", "Ende", "Timo", "Diddy", EU
"Blak", "Elytic", "Becket", "Uphill", "Toxic",   || <- 1 ||  boomtown  ||  "Zery", "Titan", "Diddy", "Timo", "Ende", EU
"Blak", "Elytic", "Becket", "Uphill", "Toxic",   || <- 1 ||  exo  ||  "Zery", "Titan", "Diddy", "Timo", "Ende", EU
"Blak", "Diddy", "Zery", "Ende", "Titan",   || <- 2 ||  drydock  ||  "Becket", "Toxic", "Timo", "Elytic", "Uphill", EU
"Blak", "Diddy", "Zery", "Ende", "Titan",   || -> 1 ||  eden  ||  "Becket", "Toxic", "Timo", "Elytic", "Uphill", EU
"Blak", "Diddy", "Zery", "Ende", "Titan",   || <- 2 ||  colony  ||  "Becket", "Toxic", "Timo", "Elytic", "Uphill", EU
"Blak", "Titan", "Diddy", "Zery", "Elytic",   || <- 2 ||  angel  ||  "Uphill", "Toxic", "Haboo", "Stn", "Nookie", EU
"Becket", "Titan", "Uphill", "Stn", "Nookie",   || <- 1 ||  glitch  ||  "Toxic", "Elytic", "Diddy", "Zery", "Ende", EU
"Becket", "Titan", "Uphill", "Stn", "Nookie",   || <- 3 ||  boomtown  ||  "Toxic", "Elytic", "Diddy", "Zery", "Ende", EU
"Becket", "M-kon", "Blak", "Zery", "Ronin",   || <- 1 ||  boomtown  ||  "Uphill", "Cylas", "Ende", "Stn", "Nookie", EU
"Becket", "M-kon", "Blak", "Zery", "Ronin",   || <- 1 ||  exo  ||  "Uphill", "Cylas", "Ende", "Stn", "Nookie", EU
"Uphill", "M-kon", "Cylas", "Stn", "Blak",   || -> 1 ||  eden  ||  "Becket", "Ende", "Nookie", "Zery", "Ronin", EU
"Uphill", "M-kon", "Cylas", "Stn", "Blak",   || <- 1 ||  drydock  ||  "Becket", "Ende", "Nookie", "Zery", "Ronin", EU
"Blak", "Toxic", "Stn", "Uphill", "M-kon",   || <- 5 ||  angel  ||  "Zery", "Becket", "Nookie", "Ronin", "Ende", EU
"Blak", "Toxic", "Stn", "Uphill", "M-kon",   || <- 1 ||  colony  ||  "Zery", "Becket", "Nookie", "Ronin", "Ende", EU
"Blak", "Nookie", "Ronin", "Uphill", "Elytic",   || <- 3 ||  glitch  ||  "Becket", "Stn", "Toxic", "Ende", "Timo", EU
"Uphill", "Toxic", "Stn", "Nookie", "Timo",   || -> 1 ||  boomtown  ||  "Becket", "Elytic", "Foy", "Blak", "Ronin", EU
"Uphill", "Toxic", "Stn", "Nookie", "Timo",   || <- 3 ||  exo  ||  "Becket", "Elytic", "Foy", "Blak", "Ronin", EU
"Uphill", "Toxic", "Stn", "Nookie", "Timo",   || -> 1 ||  eden  ||  "Becket", "Elytic", "Foy", "Blak", "Ronin", EU
"Titan", "Stn", "Blak", "Ronin", "Timo",   || <- 1 ||  exo  ||  "Diddy", "Elytic", "Uphill", "Foy", "Squishy", EU
"Titan", "Stn", "Blak", "Ronin", "Timo",   || -> 1 ||  eden  ||  "Diddy", "Elytic", "Uphill", "Foy", "Squishy", EU
"Titan", "Stn", "Blak", "Ronin", "Timo",   || <- 3 ||  drydock  ||  "Diddy", "Elytic", "Uphill", "Foy", "Squishy", EU
"Blak", "Uphill", "Elytic", "Toxic", "Foy",   || <- 1 ||  angel  ||  "Timo", "Titan", "Stn", "Diddy", "Ronin", EU
"Blak", "Uphill", "Elytic", "Toxic", "Foy",   || <- 1 ||  colony  ||  "Timo", "Titan", "Stn", "Diddy", "Ronin", EU
"Stn", "Blak", "Ronin", "Timo", "Toxic",   || -> 1 ||  glitch  ||  "Becket", "Diddy", "Elytic", "Uphill", "Haboo", EU
"Stn", "Blak", "Ronin", "Timo", "Toxic",   || <- 1 ||  exo  ||  "Becket", "Diddy", "Elytic", "Uphill", "Haboo", EU
"Stn", "Blak", "Ronin", "Timo", "Toxic",   || -> 1 ||  glitch  ||  "Becket", "Diddy", "Elytic", "Uphill", "Haboo", EU
"Stn", "Blak", "Ronin", "Timo", "Toxic",   || <- 1 ||  exo  ||  "Becket", "Diddy", "Elytic", "Uphill", "Haboo", EU
"Stn", "Blak", "Ronin", "Timo", "Toxic",   || -> 2 ||  boomtown  ||  "Becket", "Diddy", "Elytic", "Uphill", "Haboo", EU
"Becket", "Uphill", "Stn", "Bobby", "Dragon",   || <- 1 ||  exo  ||  "Diddy", "Elytic", "Haboo", "Zery", "Tark", NY
"Diddy", "Uphill", "Foy", "Bobby", "Becket",   || <- 1 ||  angel  ||  "Toxic", "Tark", "Elytic", "Slime", "Stn", NY
"Elytic", "Hero", "Diddy", "Stn", "Haboo",   || -> 1 ||  exo  ||  "M-kon", "Nookie", "Foy", "Uphill", "Becket", EU
"Elytic", "Hero", "Diddy", "Stn", "Haboo",   || -> 1 ||  eden  ||  "M-kon", "Nookie", "Foy", "Uphill", "Becket", EU
"Uphill", "Stn", "Zery", "Alex", "Titan",   || -> 2 ||  boomtown  ||  "Becket", "Smurf", "Elytic", "Blak", "Timo", EU
"Becket", "Smurf", "Elytic", "Timo", "Blak",   || -> 1 ||  exo  ||  "Stn", "Zery", "Alex", "Diddy", "Uphill", EU
"Becket", "Smurf", "Elytic", "Timo", "Blak",   || <- 1 ||  eden  ||  "Stn", "Zery", "Alex", "Diddy", "Uphill", EU
"Becket", "Smurf", "Elytic", "Timo", "Blak",   || -> 2 ||  angel  ||  "Stn", "Zery", "Alex", "Diddy", "Uphill", EU
"Elytic", "Blak", "Alex", "Diddy", "Timo",   || <- 4 ||  colony  ||  "Becket", "Smurf", "Uphill", "Stn", "Cylas", EU
"Smurf", "Uphill", "Stn", "Cylas", "Haboo",   || <- 1 ||  boomtown  ||  "Sora", "Elytic", "Blak", "Diddy", "Timo", NY
"Smurf", "Uphill", "Stn", "Cylas", "Haboo",   || -> 3 ||  glitch  ||  "Sora", "Elytic", "Blak", "Diddy", "Timo", NY
"Smurf", "Uphill", "Stn", "Cylas", "Haboo",   || -> 1 ||  exo  ||  "Sora", "Elytic", "Blak", "Diddy", "Timo", NY
